Y [ m ],Inlet Pressure [ Pa ],Outlet Pressure [ Pa ]
5.00E+00,3.13E-01,-3.35E-01
4.90E+00,3.26E-01,-2.23E-01
4.80E+00,3.39E-01,-1.12E-01
4.70E+00,3.52E-01,0.00E+00
4.60E+00,3.87E-01,0.00E+00
4.49E+00,4.22E-01,0.00E+00
4.39E+00,4.58E-01,0.00E+00
4.29E+00,5.13E-01,0.00E+00
4.19E+00,5.69E-01,0.00E+00
4.09E+00,6.25E-01,0.00E+00
3.99E+00,7.02E-01,0.00E+00
3.89E+00,7.79E-01,0.00E+00
3.79E+00,8.56E-01,0.00E+00
3.69E+00,9.54E-01,0.00E+00
3.59E+00,1.05E+00,0.00E+00
3.48E+00,1.15E+00,0.00E+00
3.38E+00,1.27E+00,0.00E+00
3.28E+00,1.38E+00,0.00E+00
3.18E+00,1.50E+00,0.00E+00
3.08E+00,1.64E+00,0.00E+00
2.98E+00,1.77E+00,0.00E+00
2.88E+00,1.91E+00,0.00E+00
2.78E+00,2.06E+00,0.00E+00
2.68E+00,2.22E+00,0.00E+00
2.58E+00,2.37E+00,0.00E+00
2.47E+00,2.54E+00,0.00E+00
2.37E+00,2.70E+00,0.00E+00
2.27E+00,2.87E+00,0.00E+00
2.17E+00,3.06E+00,0.00E+00
2.07E+00,3.24E+00,0.00E+00
1.97E+00,3.42E+00,0.00E+00
1.87E+00,3.62E+00,0.00E+00
1.77E+00,3.81E+00,0.00E+00
1.67E+00,4.00E+00,0.00E+00
1.57E+00,4.21E+00,0.00E+00
1.46E+00,4.41E+00,0.00E+00
1.36E+00,4.62E+00,0.00E+00
1.26E+00,4.83E+00,0.00E+00
1.16E+00,5.05E+00,0.00E+00
1.06E+00,5.26E+00,0.00E+00
9.60E-01,5.48E+00,0.00E+00
8.59E-01,5.70E+00,0.00E+00
7.58E-01,5.92E+00,0.00E+00
6.57E-01,6.14E+00,0.00E+00
5.56E-01,6.37E+00,0.00E+00
4.55E-01,6.59E+00,0.00E+00
3.54E-01,6.82E+00,0.00E+00
2.53E-01,7.04E+00,0.00E+00
1.52E-01,7.27E+00,0.00E+00
5.05E-02,7.49E+00,0.00E+00
-5.05E-02,7.72E+00,0.00E+00
-1.52E-01,7.95E+00,0.00E+00
-2.53E-01,8.17E+00,0.00E+00
-3.54E-01,8.40E+00,0.00E+00
-4.55E-01,8.62E+00,0.00E+00
-5.56E-01,8.84E+00,0.00E+00
-6.57E-01,9.06E+00,0.00E+00
-7.58E-01,9.28E+00,0.00E+00
-8.59E-01,9.50E+00,0.00E+00
-9.60E-01,9.71E+00,0.00E+00
-1.06E+00,9.93E+00,0.00E+00
-1.16E+00,1.01E+01,0.00E+00
-1.26E+00,1.03E+01,0.00E+00
-1.36E+00,1.05E+01,0.00E+00
-1.46E+00,1.07E+01,0.00E+00
-1.57E+00,1.09E+01,0.00E+00
-1.67E+00,1.11E+01,0.00E+00
-1.77E+00,1.13E+01,0.00E+00
-1.87E+00,1.15E+01,0.00E+00
-1.97E+00,1.17E+01,0.00E+00
-2.07E+00,1.19E+01,0.00E+00
-2.17E+00,1.20E+01,0.00E+00
-2.27E+00,1.22E+01,0.00E+00
-2.37E+00,1.24E+01,0.00E+00
-2.47E+00,1.25E+01,0.00E+00
-2.58E+00,1.27E+01,0.00E+00
-2.68E+00,1.28E+01,0.00E+00
-2.78E+00,1.30E+01,0.00E+00
-2.88E+00,1.31E+01,0.00E+00
-2.98E+00,1.33E+01,0.00E+00
-3.08E+00,1.34E+01,0.00E+00
-3.18E+00,1.35E+01,0.00E+00
-3.28E+00,1.36E+01,0.00E+00
-3.38E+00,1.37E+01,0.00E+00
-3.48E+00,1.38E+01,0.00E+00
-3.59E+00,1.39E+01,0.00E+00
-3.69E+00,1.40E+01,0.00E+00
-3.79E+00,1.41E+01,0.00E+00
-3.89E+00,1.42E+01,0.00E+00
-3.99E+00,1.42E+01,0.00E+00
-4.09E+00,1.43E+01,0.00E+00
-4.19E+00,1.44E+01,0.00E+00
-4.29E+00,1.44E+01,0.00E+00
-4.39E+00,1.45E+01,0.00E+00
-4.49E+00,1.45E+01,0.00E+00
-4.60E+00,1.45E+01,0.00E+00
-4.70E+00,1.46E+01,0.00E+00
-4.80E+00,1.46E+01,1.10E-01
-4.90E+00,1.46E+01,2.20E-01
-5.00E+00,1.46E+01,3.22E-01
