Position,Pressure Coefficient
0.833891,"	0.332793"
1.04194,"	0.268568"
1.29878,"	0.301288"
1.57253,"	0.0492364"
1.31944,"	-0.3682"
1.10031,"	-0.636204"
0.904139,"	-0.905347"
0.740651,"	-1.12938"
0.606212,"	-1.33752"
0.495375,"	-1.53268"
0.402413,"	-1.73191"
0.324712,"	-1.94305"
0.260076,"	-2.19793"
0.206523,"	-2.51027"
0.162305,"	-2.88254"
0.125955,"	-3.31717"
0.0962335,"	-3.83144"
0.0720603,"	-4.48314"
0.0523867,"	-5.40096"
0.0361587,"	-6.71848"
0.0231364,"	-8.12651"
0.0131234,"	-9.03789"
0.00630359,"	-8.98537"
0.00221418,"	-8.54051"
0,"	-8.1071"
-0.000624537,"	-7.30415"
2.66548E-05,"	-5.74032"
0.00193168,"	-3.59751"
0.00508075,"	-1.72254"
0.00939573,"	-0.569764"
0.0151068,"	0.125542"
0.0226777,"	0.549623"
0.0322088,"	0.795272"
0.0440677,"	0.926605"
0.0588888,"	0.989541"
0.0776462,"	1.01114"
0.100854,"	0.997755"
0.129744,"	0.95751"
0.165808,"	0.903749"
0.210754,"	0.840172"
0.26703,"	0.766659"
0.336993,"	0.688047"
0.42367,"	0.603907"
0.532124,"	0.513049"
0.666744,"	0.419928"
0.833891,"	0.332793"
