Position,Pressure Coefficient
0.46032,"	0.176377"
0.573882,"	0.127932"
0.713354,"	0.0858865"
0.88435,"	0.056309"
1.09344,0.0703369
1.34286,"	0.193802"
1.6218,"	0.0833606"
1.35486,"	-0.288684"
1.12718,"	-0.612647"
0.923283,"	-0.811248"
0.750773,"	-0.881525"
0.607156,"	-0.929525"
0.488478,"	-0.967943"
0.390909,"	-1.00428"
0.31102,"	-1.04381"
0.245817,"	-1.10183"
0.192733,"	-1.18054"
0.149666,"	-1.26996"
0.114796,"	-1.36495"
0.086398,"	-1.47193"
0.0633564,"	-1.60482"
0.0448679,"	-1.78843"
0.0297066,"	-2.01887"
0.0177595,"	-2.13368"
0.00917205,"	-1.89651"
0.00384171,"	-1.34333"
0.001083,"	-0.720964"
0,"	-0.174676"
0.000315967,"	0.304993"
0.00176648,"	0.685238"
0.00436435,"	0.908709"
0.0081017,"	0.989196"
0.0132127,"	0.980414"
0.0196778,"	0.927275"
0.0279993,"	0.859167"
0.0385045,"	0.787394"
0.0516527,"	0.716453"
0.0679448,"	0.647446"
0.0882397,"	0.580268"
0.113453,"	0.515063"
0.144886,"	0.452334"
0.18434,"	0.391641"
0.232924,"	0.334828"
0.293608,"	0.279861"
0.368308,"	0.226787"
0.46032,"	0.176377"
