P16 - Angle of Attack [degree],P6 - xForce [N],P8 - yForce [N],P13 - lift-coefficient-op,P14 - drag-coefficient-op,lift/drag
5,9.22522,420.94,0.99915591,0.021897255,45.62927682
-5,7.45847,-35.0009,-0.083079148,0.017703633,-4.692773963
10,13.3714,607.748,1.4425689,0.03173879,45.45128847
15,29.8566,776.85,1.8439544,0.070868409,26.01941297
0,7.6704,201.862,0.47914572,0.018206671,26.3170417
-2.5,7.2562,84.7713,0.2012155,0.017223522,11.68259895
7.5,10.9885,520.851,1.236306,0.026082545,47.39974569
2.5,8.40388,308.69,0.73271662,0.019947696,36.73189224
12.5,18.5766,702.788,1.6681578,0.044094034,37.8318255
2.5,8.40388,308.69,0.73271662,0.019947696,36.73189224
