Position,Pressure Coefficient
0.0245496,"	-1.51937"
0.0339792,"	-1.31515"
0.0457743,"	-1.13702"
0.0603139,"	-0.986693"
0.0782372,"	-0.86752"
0.101117,"	-0.768728"
0.129082,"	-0.688062"
0.163987,"	-0.619069"
0.20658,"	-0.55994"
0.258752,"	-0.50782"
0.322359,"	-0.462022"
0.399631,"	-0.421507"
0.493473,"	-0.383729"
0.60712,"	-0.348166"
0.744322,"	-0.307633"
0.909575,"	-0.248905"
1.1102,"	-0.118947"
1.34891,"	0.095497"
1.6218,"	0.0700258"
1.33266,"	-0.221838"
1.07398,"	-0.408629"
0.85503,"	-0.422491"
0.677508,"	-0.364203"
0.534593,"	-0.294027"
0.419977,"	-0.212376"
0.328322,"	-0.128057"
0.255172,"	-0.043775"
0.196696,"	0.0366756"
0.149888,"	0.11967"
0.113041,"	0.211392"
0.0830678,"	0.319918"
0.0588839,"	0.440838"
0.0394461,"	0.576412"
0.0244394,"	0.729462"
0.0131865,"	0.89821"
0.00567053,"	0.96691"
0.00147749,"	0.824303"
-5.56978E-05,"	0.430337"
0,"	-0.293728"
0.0012269,"	-1.22084"
0.00343851,"	-2.09747"
0.0066339,"	-2.49688"
0.0111036,"	-2.28971"
0.0170815,"	-1.83565"
0.0245496,"	-1.51937"
