P2 - Total Deformation Maximum [mm],P4 - Equivalent Stress Maximum [MPa],P5 - Safety Factor Minimum,P7 - Mesh Nodes,P8 - Mesh Elements
242.2549534,287.6399495,1.748713977,14041,3033
242.2415987,287.6402611,1.748712083,12185,2445
242.2227996,287.6400629,1.748713287,11035,2085
242.2003802,287.641202,1.748706363,10344,1874
242.1604022,287.6392939,1.748717963,9775,1695
242.1337848,287.6416189,1.748703828,9455,1603
242.0964611,287.6375866,1.748728342,9011,1471
241.9587626,287.6395357,1.748716492,8367,1297
241.780101,287.633587,1.748752659,8020,1210
241.4689535,287.6323451,1.748760209,7860,1200
241.4689535,287.6323451,1.748760209,7860,1200

