Position,Pressure Coefficient
0.443647,"	0.402883"
0.555459,"	0.327864"
0.693608,"	0.254206"
0.864172,"	0.192344"
1.07475,"	0.163982"
1.33011,"	0.238942"
1.60327,"	0.0970513"
1.34179,"	-0.27943"
1.11719,"	-0.640172"
0.919226,"	-0.91102"
0.753722,"	-1.04987"
0.614356,"	-1.16669"
0.497879,"	-1.27784"
0.401136,"	-1.39214"
0.321172,"	-1.51376"
0.255348,"	-1.6643"
0.201341,"	-1.85257"
0.157183,"	-2.07647"
0.121222,"	-2.33495"
0.0920089,"	-2.63591"
0.0685086,"	-3.00922"
0.0493432,"	-3.51855"
0.0334469,"	-4.20472"
0.0207611,"	-4.90404"
0.0112945,"	-5.15251"
0.00512725,"	-4.67553"
0.00166122,"	-4.02929"
0,"	-3.40868"
-0.000160453,"	-2.66136"
0.000882377,"	-1.65396"
0.00313536,"	-0.567372"
0.00657226,"	0.202258"
0.0112879,"	0.642749"
0.017403,"	0.859141"
0.0254133,"	0.959429"
0.0354336,"	0.992767"
0.0479692,"	0.982446"
0.0634943,"	0.944452"
0.0829279,"	0.893636"
0.107173,"	0.834266"
0.137439,"	0.768212"
0.175317,"	0.697689"
0.222086,"	0.62623"
0.280922,"	0.552275"
0.353637,"	0.478179"
0.443647,"	0.402883"
