Position,Pressure Coefficient
0.0152325000,"	0.1754"
0.0222277000,"	0.139808"
0.0310587000,"	0.101925"
0.0422169000,"	0.074827"
0.0561347000,"	0.0547161"
0.0733514000,"	0.0358827"
0.0949906000,"	0.0165889"
0.1217250000,"	-0.00268058"
0.1551800000,"	-0.0209327"
0.1965660000,"	-0.0378464"
0.2474450000,"	-0.0530652"
0.3102600000,"	-0.0667742"
0.3871250000,"	-0.0805851"
0.4813330000,"	-0.0936202"
0.5964530000,"	-0.104133"
0.7367200000,"	-0.109825"
0.9071650000,"	-0.100726"
1.1131100000,"	-0.0244834"
1.3542800000,"	0.147483"
1.6280000000,"	0.0695629"
1.3447000000,"	-0.284389"
1.0961400000,"	-0.543561"
0.8799510000,"	-0.642223"
0.7020510000,"	-0.635828"
0.5572810000,"	-0.620065"
0.4401350000,"	-0.595013"
0.3457260000,"	-0.564242"
0.2698770000,"	-0.535151"
0.2090570000,"	-0.515151"
0.1604320000,"	-0.50008"
0.1216750000,"	-0.479764"
0.0903144000,"	-0.447696"
0.0651128000,"	-0.40831"
0.0446446000,"	-0.365791"
0.0286641000,"	-0.292873"
0.0163901000,"	-0.099332"
0.0078502200,"	0.233275"
0.0028144500,"	0.60596"
0.0005403100,"	0.888133"
0.0000000000,"	0.974791"
0.0007657160,"	0.862435"
0.0025954600,"	0.630848"
0.0055028500,"	0.386353"
0.0096327800,"	0.229656"
